Date,Workout Name,Exercise Name,Set Order,Weight,Reps,Distance,Seconds,Notes,Workout Notes,RPE
2019-12-02 16:45:22,"Воркаут после полудня","Elliptical Machine",1,0,0,2.0,330,"","",
2019-12-02 16:45:22,"Воркаут после полудня","Bench Press (Barbell)",1,30.0,12,0,0,"",,
2019-12-02 16:45:22,"Воркаут после полудня","Bench Press (Barbell)",2,40.0,12,0,0,,,
2019-12-02 16:45:22,"Воркаут после полудня","Bench Press (Barbell)",3,40.0,12,0,0,,,
2019-12-02 16:45:22,"Воркаут после полудня","Bench Press (Barbell)",4,40.0,12,0,0,,,
2019-12-02 16:45:22,"Воркаут после полудня","Iso-Lateral Chest Press (Machine)",1,10.0,12,0,0,"",,
2019-12-02 16:45:22,"Воркаут после полудня","Iso-Lateral Chest Press (Machine)",2,10.0,12,0,0,,,
2019-12-02 16:45:22,"Воркаут после полудня","Iso-Lateral Chest Press (Machine)",3,10.0,12,0,0,,,
2019-12-02 16:45:22,"Воркаут после полудня","Chest Fly (Dumbbell)",1,6.0,12,0,0,"",,
2019-12-02 16:45:22,"Воркаут после полудня","Chest Fly (Dumbbell)",2,6.0,12,0,0,,,
2019-12-02 16:45:22,"Воркаут после полудня","Chest Fly (Dumbbell)",3,6.0,12,0,0,,,
2019-12-02 16:45:22,"Воркаут после полудня","Back Extension",1,0,20,0,0,"",,
2019-12-02 16:45:22,"Воркаут после полудня","Back Extension",2,0,15,0,0,,,
2019-12-02 16:45:22,"Воркаут после полудня","Back Extension",3,0,15,0,0,,,
2019-12-04 16:45:04,"Pull","Elliptical Machine",1,0,0,2.56,360,"","",
2019-12-04 16:45:04,"Pull","Deadlift (Barbell)",1,50.0,5,0,0,"",,
2019-12-04 16:45:04,"Pull","Deadlift (Barbell)",2,50.0,5,0,0,,,
2019-12-04 16:45:04,"Pull","Deadlift (Barbell)",3,50.0,5,0,0,,,
2019-12-04 16:45:04,"Pull","Deadlift (Barbell)",4,50.0,5,0,0,,,
2019-12-04 16:45:04,"Pull","Deadlift (Barbell)",5,50.0,6,0,0,,,
2019-12-04 16:45:04,"Pull","Pull Up (Assisted)",1,57.0,12,0,0,"",,
2019-12-04 16:45:04,"Pull","Pull Up (Assisted)",2,57.0,12,0,0,,,
2019-12-04 16:45:04,"Pull","Pull Up (Assisted)",3,57.0,12,0,0,,,
2019-12-04 16:45:04,"Pull","Seated Row (Cable)",1,34.0,12,0,0,"",,
2019-12-04 16:45:04,"Pull","Seated Row (Cable)",2,34.0,12,0,0,,,
2019-12-04 16:45:04,"Pull","Seated Row (Cable)",3,34.0,12,0,0,,,
2019-12-04 16:45:04,"Pull","Face Pull (Cable)",1,14.0,20,0,0,"",,
2019-12-04 16:45:04,"Pull","Face Pull (Cable)",2,14.0,20,0,0,,,
2019-12-04 16:45:04,"Pull","Face Pull (Cable)",3,14.0,20,0,0,,,
2019-12-04 16:45:04,"Pull","Face Pull (Cable)",4,14.0,20,0,0,,,
2019-12-04 16:45:04,"Pull","Face Pull (Cable)",5,14.0,20,0,0,,,
2019-12-04 16:45:04,"Pull","Hammer Curl (Dumbbell)",1,6.0,12,0,0,"",,
2019-12-04 16:45:04,"Pull","Hammer Curl (Dumbbell)",2,6.0,12,0,0,,,
2019-12-04 16:45:04,"Pull","Hammer Curl (Dumbbell)",3,6.0,12,0,0,,,
2019-12-04 16:45:04,"Pull","Hammer Curl (Dumbbell)",4,6.0,12,0,0,,,
2019-12-04 16:45:04,"Pull","Bicep Curl (Dumbbell)",1,6.0,12,0,0,"",,
2019-12-04 16:45:04,"Pull","Bicep Curl (Dumbbell)",2,6.0,12,0,0,,,
2019-12-04 16:45:04,"Pull","Bicep Curl (Dumbbell)",3,6.0,12,0,0,,,
2019-12-04 16:45:04,"Pull","Bicep Curl (Dumbbell)",4,6.0,12,0,0,,,
2019-12-06 16:17:52,"Legs","Elliptical Machine",1,0,0,1.6,260,"","",
2019-12-06 16:17:52,"Legs","Squat (Barbell)",1,50.0,5,0,0,"",,
2019-12-06 16:17:52,"Legs","Squat (Barbell)",2,50.0,5,0,0,,,
2019-12-06 16:17:52,"Legs","Squat (Barbell)",3,50.0,10,0,0,,,
2019-12-06 16:17:52,"Legs","Romanian Deadlift (Barbell)",1,30.0,12,0,0,"",,
2019-12-06 16:17:52,"Legs","Romanian Deadlift (Barbell)",2,30.0,12,0,0,,,
2019-12-06 16:17:52,"Legs","Romanian Deadlift (Barbell)",3,30.0,12,0,0,,,
2019-12-06 16:17:52,"Legs","Leg Press",1,50.0,12,0,0,"",,
2019-12-06 16:17:52,"Legs","Leg Press",2,50.0,12,0,0,,,
2019-12-06 16:17:52,"Legs","Leg Press",3,50.0,12,0,0,,,
2019-12-06 16:17:52,"Legs","Seated Leg Curl (Machine)",1,30.0,12,0,0,"",,
2019-12-06 16:17:52,"Legs","Seated Leg Curl (Machine)",2,36.0,12,0,0,,,
2019-12-06 16:17:52,"Legs","Seated Leg Curl (Machine)",3,36.0,12,0,0,,,
2019-12-06 16:17:52,"Legs","Seated Calf Raise (Plate Loaded)",1,20.0,12,0,0,"",,
2019-12-06 16:17:52,"Legs","Seated Calf Raise (Plate Loaded)",2,20.0,12,0,0,,,
2019-12-06 16:17:52,"Legs","Seated Calf Raise (Plate Loaded)",3,20.0,12,0,0,,,
2019-12-06 16:17:52,"Legs","Seated Calf Raise (Plate Loaded)",4,20.0,12,0,0,,,
2019-12-06 16:17:52,"Legs","Seated Calf Raise (Plate Loaded)",5,20.0,14,0,0,,,
2019-12-09 08:52:32,"Push","Elliptical Machine",1,0,0,1.8,300,"","",
2019-12-09 08:52:32,"Push","Bench Press (Barbell)",1,45.0,12,0,0,"",,
2019-12-09 08:52:32,"Push","Bench Press (Barbell)",2,45.0,12,0,0,,,
2019-12-09 08:52:32,"Push","Bench Press (Barbell)",3,50.0,5,0,0,,,
2019-12-09 08:52:32,"Push","Bench Press (Barbell)",4,50.0,5,0,0,,,
2019-12-09 08:52:32,"Push","Bench Press (Barbell)",5,50.0,5,0,0,,,
2019-12-09 08:52:32,"Push","Overhead Press (Barbell)",1,20.0,12,0,0,"",,
2019-12-09 08:52:32,"Push","Overhead Press (Barbell)",2,20.0,12,0,0,,,
2019-12-09 08:52:32,"Push","Overhead Press (Barbell)",3,20.0,12,0,0,,,
2019-12-09 08:52:32,"Push","Incline Bench Press (Dumbbell)",1,10.0,12,0,0,"",,
2019-12-09 08:52:32,"Push","Incline Bench Press (Dumbbell)",2,10.0,12,0,0,,,
2019-12-09 08:52:32,"Push","Incline Bench Press (Dumbbell)",3,10.0,12,0,0,,,
2019-12-09 08:52:32,"Push","Triceps Pushdown (Cable - Straight Bar)",1,14.0,12,0,0,"",,
2019-12-09 08:52:32,"Push","Triceps Pushdown (Cable - Straight Bar)",2,14.0,12,0,0,,,
2019-12-09 08:52:32,"Push","Triceps Pushdown (Cable - Straight Bar)",3,14.0,12,0,0,,,
2019-12-09 08:52:32,"Push","Lateral Raise (Dumbbell)",1,5.0,20,0,0,"",,
2019-12-09 08:52:32,"Push","Lateral Raise (Dumbbell)",2,5.0,20,0,0,,,
2019-12-09 08:52:32,"Push","Lateral Raise (Dumbbell)",3,5.0,20,0,0,,,
2019-12-09 08:52:32,"Push","Triceps Extension (Dumbbell)",1,14.0,12,0,0,"",,
2019-12-09 08:52:32,"Push","Triceps Extension (Dumbbell)",2,14.0,10,0,0,,,
2019-12-09 08:52:32,"Push","Triceps Extension (Dumbbell)",3,14.0,6,0,0,,,
2019-12-09 08:52:32,"Push","Lateral Raise (Dumbbell)",1,5.0,20,0,0,"",,
2019-12-09 08:52:32,"Push","Lateral Raise (Dumbbell)",2,5.0,18,0,0,,,
2019-12-09 08:52:32,"Push","Lateral Raise (Dumbbell)",3,5.0,20,0,0,,,
2019-12-10 07:23:17,"Pull","Elliptical Machine",1,0,0,2.08,300,"","",
2019-12-10 07:23:17,"Pull","Bent Over Row (Barbell)",1,50.0,5,0,0,"",,
2019-12-10 07:23:17,"Pull","Bent Over Row (Barbell)",2,50.0,5,0,0,,,
2019-12-10 07:23:17,"Pull","Bent Over Row (Barbell)",3,50.0,5,0,0,,,
2019-12-10 07:23:17,"Pull","Bent Over Row (Barbell)",4,50.0,5,0,0,,,
2019-12-10 07:23:17,"Pull","Bent Over Row (Barbell)",5,50.0,5,0,0,,,
2019-12-10 07:23:17,"Pull","Seated Row (Cable)",1,43.0,12,0,0,"",,
2019-12-10 07:23:17,"Pull","Seated Row (Cable)",2,43.0,12,0,0,,,
2019-12-10 07:23:17,"Pull","Seated Row (Cable)",3,43.0,12,0,0,,,
2019-12-10 07:23:17,"Pull","Lat Pulldown (Cable)",1,43.0,12,0,0,"",,
2019-12-10 07:23:17,"Pull","Lat Pulldown (Cable)",2,43.0,10,0,0,,,
